PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,FamilySize,IsAlone,SourceURL
56,1,1,male,,0,0,35.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
57,1,2,female,21,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
58,0,3,male,28.5,0,0,7.2292,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
59,1,2,female,5,1,2,27.75,S,4,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
60,0,3,male,11,5,2,46.9,S,8,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
61,0,3,male,22,0,0,7.2292,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
62,1,1,female,38,0,0,80,,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
63,0,1,male,45,1,0,83.475,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
64,0,3,male,4,3,2,27.9,S,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
65,0,1,male,,0,0,27.7208,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
66,1,3,male,,1,1,15.2458,C,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
67,1,2,female,29,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
68,0,3,male,19,0,0,8.1583,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
69,1,3,female,17,4,2,7.925,S,7,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
70,0,3,male,26,2,0,8.6625,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
71,0,2,male,32,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
72,0,3,female,16,5,2,46.9,S,8,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
73,0,2,male,21,0,0,73.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
74,0,3,male,26,1,0,14.4542,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
75,1,3,male,32,0,0,56.4958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
76,0,3,male,25,0,0,7.65,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
77,0,3,male,,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
78,0,3,male,,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
79,1,2,male,0.83,0,2,29,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
80,1,3,female,30,0,0,12.475,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
81,0,3,male,22,0,0,9,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
82,1,3,male,29,0,0,9.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
83,1,3,female,,0,0,7.7875,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
84,0,1,male,28,0,0,47.1,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
85,1,2,female,17,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
86,1,3,female,33,3,0,15.85,S,4,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
87,0,3,male,16,1,3,34.375,S,5,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
88,0,3,male,,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
89,1,1,female,23,3,2,263,S,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
90,0,3,male,24,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
91,0,3,male,29,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
92,0,3,male,20,0,0,7.8542,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
93,0,1,male,46,1,0,61.175,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
94,0,3,male,26,1,2,20.575,S,4,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
95,0,3,male,59,0,0,7.25,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
96,0,3,male,,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
97,0,1,male,71,0,0,34.6542,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
98,1,1,male,23,0,1,63.3583,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
99,1,2,female,34,0,1,23,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
100,0,2,male,34,1,0,26,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
101,0,3,female,28,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
102,0,3,male,,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
103,0,1,male,21,0,1,77.2875,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
104,0,3,male,33,0,0,8.6542,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
105,0,3,male,37,2,0,7.925,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
106,0,3,male,28,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
107,1,3,female,21,0,0,7.65,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
108,1,3,male,,0,0,7.775,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
109,0,3,male,38,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
110,1,3,female,,1,0,24.15,Q,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
111,0,1,male,47,0,0,52,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
112,0,3,female,14.5,1,0,14.4542,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
113,0,3,male,22,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
114,0,3,female,20,1,0,9.825,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
115,0,3,female,17,0,0,14.4583,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
116,0,3,male,21,0,0,7.925,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
117,0,3,male,70.5,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
118,0,2,male,29,1,0,21,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
119,0,1,male,24,0,1,247.5208,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
120,0,3,female,2,4,2,31.275,S,7,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
121,0,2,male,21,2,0,73.5,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
122,0,3,male,,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
123,0,2,male,32.5,1,0,30.0708,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
124,1,2,female,32.5,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
125,0,1,male,54,0,1,77.2875,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
126,1,3,male,12,1,0,11.2417,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
127,0,3,male,,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
128,1,3,male,24,0,0,7.1417,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
129,1,3,female,,1,1,22.3583,C,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
130,0,3,male,45,0,0,6.975,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
131,0,3,male,33,0,0,7.8958,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
132,0,3,male,20,0,0,7.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
133,0,3,female,47,1,0,14.5,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
134,1,2,female,29,1,0,26,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
135,0,2,male,25,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
136,0,2,male,23,0,0,15.0458,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
137,1,1,female,19,0,2,26.2833,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
138,0,1,male,37,1,0,53.1,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
139,0,3,male,16,0,0,9.2167,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
140,0,1,male,24,0,0,79.2,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
141,0,3,female,,0,2,15.2458,C,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
142,1,3,female,22,0,0,7.75,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
143,1,3,female,24,1,0,15.85,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
144,0,3,male,19,0,0,6.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
145,0,2,male,18,0,0,11.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
146,0,2,male,19,1,1,36.75,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
147,1,3,male,27,0,0,7.7958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
148,0,3,female,9,2,2,34.375,S,5,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
149,0,2,male,36.5,0,2,26,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
150,0,2,male,42,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
151,0,2,male,51,0,0,12.525,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
152,1,1,female,22,1,0,66.6,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
153,0,3,male,55.5,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
154,0,3,male,40.5,0,2,14.5,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
155,0,3,male,,0,0,7.3125,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
156,0,1,male,51,0,1,61.3792,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
157,1,3,female,16,0,0,7.7333,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
158,0,3,male,30,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
159,0,3,male,,0,0,8.6625,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
160,0,3,male,,8,2,69.55,S,11,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
161,0,3,male,44,0,1,16.1,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
162,1,2,female,40,0,0,15.75,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
163,0,3,male,26,0,0,7.775,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
164,0,3,male,17,0,0,8.6625,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
165,0,3,male,1,4,1,39.6875,S,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
166,1,3,male,9,0,2,20.525,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
167,1,1,female,,0,1,55,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
168,0,3,female,45,1,4,27.9,S,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
169,0,1,male,,0,0,25.925,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
170,0,3,male,28,0,0,56.4958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
171,0,1,male,61,0,0,33.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
172,0,3,male,4,4,1,29.125,Q,6,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
173,1,3,female,1,1,1,11.1333,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
174,0,3,male,21,0,0,7.925,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
175,0,1,male,56,0,0,30.6958,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
176,0,3,male,18,1,1,7.8542,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
177,0,3,male,,3,1,25.4667,S,5,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
178,0,1,female,50,0,0,28.7125,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
179,0,2,male,30,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
180,0,3,male,36,0,0,0,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
181,0,3,female,,8,2,69.55,S,11,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
182,0,2,male,,0,0,15.05,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
183,0,3,male,9,4,2,31.3875,S,7,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
184,1,2,male,1,2,1,39,S,4,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
185,1,3,female,4,0,2,22.025,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
186,0,1,male,,0,0,50,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
187,1,3,female,,1,0,15.5,Q,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
188,1,1,male,45,0,0,26.55,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
189,0,3,male,40,1,1,15.5,Q,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
190,0,3,male,36,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
191,1,2,female,32,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
192,0,2,male,19,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
193,1,3,female,19,1,0,7.8542,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
194,1,2,male,3,1,1,26,S,3,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
195,1,1,female,44,0,0,27.7208,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
196,1,1,female,58,0,0,146.5208,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
197,0,3,male,,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
198,0,3,male,42,0,1,8.4042,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
199,1,3,female,,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
200,0,2,female,24,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
201,0,3,male,28,0,0,9.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
202,0,3,male,,8,2,69.55,S,11,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
203,0,3,male,34,0,0,6.4958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
204,0,3,male,45.5,0,0,7.225,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
205,1,3,male,18,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
206,0,3,female,2,0,1,10.4625,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
207,0,3,male,32,1,0,15.85,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
208,1,3,male,26,0,0,18.7875,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
209,1,3,female,16,0,0,7.75,Q,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
210,1,1,male,40,0,0,31,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
211,0,3,male,24,0,0,7.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
212,1,2,female,35,0,0,21,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
213,0,3,male,22,0,0,7.25,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
214,0,2,male,30,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
215,0,3,male,,1,0,7.75,Q,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
216,1,1,female,31,1,0,113.275,C,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
217,1,3,female,27,0,0,7.925,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
218,0,2,male,42,1,0,27,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
219,1,1,female,32,0,0,76.2917,C,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
220,0,2,male,30,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
221,1,3,male,16,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
222,0,2,male,27,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
223,0,3,male,51,0,0,8.05,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
224,0,3,male,,0,0,7.8958,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
225,1,1,male,38,1,0,90,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
226,0,3,male,22,0,0,9.35,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
227,1,2,male,19,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
228,0,3,male,20.5,0,0,7.25,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
229,0,2,male,18,0,0,13,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
230,0,3,female,,3,1,25.4667,S,5,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
231,1,1,female,35,1,0,83.475,S,2,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
232,0,3,male,29,0,0,7.775,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
233,0,2,male,59,0,0,13.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
234,1,3,female,5,4,2,31.3875,S,7,0,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
235,0,2,male,24,0,0,10.5,S,1,1,https://raw.githubusercontent.com/datasciencedojo/datasets/master/titanic.csv
