SourceRecordID,SizeSqFt,Bedrooms,Bathrooms,GarageCars,LotAreaSqFt,Neighborhood,OverallQuality,AgeAtSaleYears,SalePriceUSD
97,"1,588",3,2.0,2,"10,264",CollgCr,7,7,"214,000"
98,960,3,1.0,1,"10,921",Edwards,4,42,"94,750"
99,835,2,1.0,1,"10,625",Edwards,5,90,"83,000"
100,"1,225",3,1.5,0,"9,320",NAmes,4,51,"128,950"
101,"1,610",3,2.0,2,"10,603",NWAmes,6,33,"205,000"
102,"1,732",3,2.5,2,"9,206",SawyerW,6,25,"178,000"
103,"1,535",4,2.0,2,"7,018",SawyerW,5,30,"118,964"
104,"1,226",3,2.0,3,"10,402",CollgCr,7,1,"198,900"
105,"1,818",4,1.5,1,"7,758",IDOTRR,7,76,"169,500"
106,"1,992",3,2.5,2,"9,375",Somerst,8,5,"250,000"
107,"1,047",2,1.0,1,"10,800",OldTown,4,122,"100,000"
108,789,2,1.0,1,"6,000",OldTown,5,60,"115,000"
109,"1,517",3,2.0,0,"8,500",IDOTRR,5,88,"115,000"
110,"1,844",3,2.0,2,"11,751",NWAmes,6,33,"190,000"
111,"1,855",4,2.0,1,"9,525",Edwards,6,52,"136,900"
112,"1,430",3,2.5,2,"7,750",Gilbert,7,10,"180,000"
113,"2,696",4,2.5,3,"9,965",CollgCr,7,0,"383,970"
114,"2,259",3,2.0,2,"21,000",Crawfor,6,54,"217,000"
115,"2,320",3,2.5,1,"7,259",Crawfor,6,62,"259,500"
116,"1,458",2,2.5,2,"3,230",Somerst,6,8,"176,000"
117,"1,092",3,1.0,1,"11,616",Sawyer,5,47,"139,000"
118,"1,125",2,1.5,2,"8,536",Edwards,5,1,"155,000"
119,"3,222",5,3.0,3,"12,376",SawyerW,7,20,"320,000"
120,"1,456",3,2.5,2,"8,461",CollgCr,6,1,"163,990"
121,988,1,1.0,2,"21,453",ClearCr,6,37,"180,000"
122,"1,123",3,1.0,1,"6,060",IDOTRR,4,68,"100,000"
123,"1,080",3,1.0,1,"9,464",NAmes,6,50,"136,000"
124,"1,199",2,2.0,2,"7,892",SawyerW,6,15,"153,900"
125,"1,586",3,2.0,2,"17,043",NWAmes,6,30,"181,000"
126,754,2,1.0,0,"6,780",IDOTRR,6,71,"84,500"
127,958,2,2.0,2,"4,928",NPkVill,6,31,"128,000"
128,840,3,1.0,0,"4,388",OldTown,5,77,"87,000"
129,"1,348",3,1.5,2,"7,590",NAmes,6,40,"155,000"
130,"1,053",3,1.5,2,"8,973",NAmes,5,48,"150,000"
131,"2,157",4,2.5,2,"14,200",NAmes,7,40,"226,000"
132,"2,054",3,2.5,2,"12,224",Gilbert,6,9,"244,000"
133,"1,327",3,1.0,2,"7,388",NAmes,5,48,"150,750"
134,"1,296",2,2.0,2,"6,853",Timber,8,8,"220,000"
135,"1,721",3,2.5,2,"10,335",Sawyer,5,38,"180,000"
136,"1,682",3,2.0,2,"10,400",NWAmes,7,38,"174,000"
137,"1,214",3,2.0,1,"10,355",NAmes,5,40,"143,000"
138,"1,959",5,3.0,3,"11,070",Mitchel,7,18,"171,000"
139,"1,852",3,2.5,3,"9,066",CollgCr,8,9,"230,000"
140,"1,764",3,2.5,2,"15,426",CollgCr,6,12,"231,500"
141,864,3,1.0,0,"10,500",NAmes,4,39,"115,000"
142,"1,734",3,2.0,2,"11,645",CollgCr,7,1,"260,000"
143,"1,385",4,2.0,2,"8,520",NAmes,5,58,"166,000"
144,"1,501",3,2.0,2,"10,335",CollgCr,7,10,"204,000"
145,"1,728",6,2.0,2,"9,100",Sawyer,5,43,"125,000"
146,"1,709",3,2.0,2,"2,522",Edwards,6,2,"130,000"
147,875,2,1.0,1,"6,120",BrkSide,5,78,"105,000"
148,"2,035",3,2.5,2,"9,505",Gilbert,7,9,"222,500"
149,"1,080",3,1.0,0,"7,500",SawyerW,7,4,"141,000"
150,"1,344",3,1.0,1,"6,240",BrkSide,5,70,"115,000"
151,969,3,1.5,2,"10,356",CollgCr,5,32,"122,000"
152,"1,710",2,2.0,3,"13,891",NridgHt,8,1,"372,402"
153,"1,993",4,2.5,2,"14,803",NWAmes,6,35,"190,000"
154,"1,252",1,1.0,2,"13,500",ClearCr,6,48,"235,000"
155,"1,200",4,1.0,1,"11,340",OldTown,6,83,"125,000"
156,"1,096",2,1.0,0,"9,600",Edwards,6,84,"79,000"
157,"1,040",2,1.0,2,"7,200",NAmes,5,56,"109,500"
158,"1,968",4,2.5,3,"12,003",Timber,8,1,"269,500"
159,"1,947",3,2.5,2,"12,552",Somerst,7,6,"254,900"
160,"2,462",4,2.5,2,"19,378",Gilbert,7,1,"320,000"
161,"1,232",3,2.0,2,"11,120",Veenker,6,24,"162,500"
162,"2,668",3,2.5,3,"13,688",NridgHt,9,5,"412,500"
163,"1,541",3,2.0,2,"12,182",NridgHt,7,5,"220,000"
164,882,1,1.0,0,"5,500",OldTown,4,51,"103,200"
165,"1,616",3,2.0,1,"5,400",OldTown,6,81,"152,000"
166,"1,355",4,2.0,0,"10,106",Edwards,5,68,"127,500"
167,"1,867",2,1.0,1,"10,708",ClearCr,5,54,"190,000"
168,"2,161",3,1.5,3,"10,562",NridgHt,8,0,"325,624"
169,"1,720",3,2.5,2,"8,244",Gilbert,7,3,"183,500"
170,"1,707",2,2.5,2,"16,669",Timber,8,25,"228,000"
171,"1,382",2,1.5,2,"12,358",OldTown,5,66,"128,500"
172,"1,656",3,1.0,2,"31,770",NAmes,6,50,"215,000"
173,"1,767",2,2.0,2,"5,306",StoneBr,7,19,"239,000"
174,"1,362",3,1.5,2,"10,197",NAmes,6,47,"163,000"
175,"1,651",3,2.0,2,"12,416",Timber,6,22,"184,000"
176,"2,158",4,2.0,2,"12,615",Edwards,6,57,"243,000"
177,"2,060",4,2.5,2,"10,029",ClearCr,6,19,"211,000"
178,"1,920",4,2.0,2,"13,650",Sawyer,5,48,"172,500"
179,"2,234",1,2.0,3,"17,423",StoneBr,9,1,"501,837"
180,968,2,1.0,2,"8,520",OldTown,5,84,"100,000"
181,"1,525",3,2.5,2,"2,117",Somerst,6,7,"177,000"
182,"1,802",4,1.5,1,"7,588",Crawfor,7,86,"200,100"
183,"1,340",3,1.0,1,"9,060",Edwards,5,50,"120,000"
184,"2,082",3,2.5,2,"11,426",OldTown,7,5,"200,000"
185,"1,252",3,1.0,2,"7,438",BrkSide,5,98,"127,000"
186,"3,608",4,2.5,3,"22,950",OldTown,10,114,"475,000"
187,"1,217",3,2.0,2,"9,947",Mitchel,7,19,"173,000"
188,"1,656",3,2.5,1,"10,410",OldTown,5,93,"135,000"
189,"1,224",2,1.0,2,"7,018",SawyerW,5,30,"153,337"
190,"1,593",0,1.5,2,"4,923",StoneBr,8,7,"286,000"
191,"2,727",3,2.5,2,"10,570",Crawfor,8,75,"315,000"
192,"1,479",4,1.5,2,"7,472",NAmes,7,35,"184,000"
193,"1,431",3,2.0,2,"9,017",CollgCr,7,10,"192,000"
194,"1,709",3,2.0,2,"2,522",Edwards,7,2,"130,000"
195,864,3,1.0,1,"7,180",CollgCr,5,36,"127,000"
196,"1,456",3,2.5,2,"2,280",NPkVill,6,33,"148,500"
197,"1,726",3,2.0,3,"9,416",Somerst,7,0,"311,872"
198,"3,112",4,2.0,2,"25,419",NAmes,8,88,"235,000"
199,"2,229",5,1.0,0,"5,520",OldTown,6,97,"104,000"
200,"1,713",3,2.0,3,"9,591",NridgHt,8,5,"274,900"
201,"1,121",2,2.0,2,"8,546",Edwards,4,7,"140,000"
202,"1,279",3,2.0,2,"10,125",Mitchel,6,31,"171,500"
203,"1,310",2,2.0,1,"7,000",OldTown,6,82,"112,000"
204,848,1,1.0,2,"4,438",CollgCr,6,4,"149,000"
205,"1,284",2,1.5,1,"3,500",OldTown,5,62,"110,000"
206,"1,442",3,2.0,2,"11,851",Gilbert,7,19,"180,500"
207,"1,696",3,1.5,1,"13,673",Sawyer,5,45,"143,900"
208,"1,100",3,1.0,1,"12,493",NAmes,4,48,"141,000"
209,"2,062",3,2.5,2,"14,364",SawyerW,7,19,"277,000"
210,"1,092",3,1.0,2,"8,250",NAmes,6,44,"145,000"
211,864,2,1.0,0,"5,604",Edwards,5,83,"98,000"
212,"1,212",3,2.0,2,"10,420",Edwards,6,1,"186,000"
213,"1,852",3,2.5,2,"8,640",Somerst,7,0,"252,678"
214,990,3,1.0,2,"13,568",CollgCr,5,11,"156,000"
215,"1,392",3,1.5,1,"10,900",CollgCr,6,33,"161,750"
216,"1,236",2,1.0,1,"10,011",NAmes,5,49,"134,450"
217,"1,436",3,2.0,2,"8,450",CollgCr,7,4,"210,000"
218,"1,328",3,1.0,1,"9,906",OldTown,4,81,"107,000"
219,"1,954",3,1.5,2,"15,660",Crawfor,7,69,"311,500"
220,"1,248",2,2.0,2,"3,010",Blmngtn,7,1,"167,240"
221,"1,498",2,2.0,2,"8,990",CollgCr,7,0,"204,900"
222,"2,267",4,2.5,2,"8,068",Gilbert,6,7,"200,000"
223,"1,552",3,2.5,2,"11,475",NWAmes,6,31,"179,900"
224,864,2,1.0,2,"10,500",NAmes,4,38,"97,000"
225,"2,392",3,2.0,3,"13,472",NridgHt,10,6,"386,250"
226,"1,302",3,2.5,1,"1,680",BrDale,5,38,"112,000"
227,"2,520",4,2.5,3,"9,950",NoRidge,7,12,"290,000"
228,987,2,1.5,1,"1,869",BrDale,6,38,"106,000"
229,912,3,1.0,1,"8,521",Sawyer,5,43,"125,000"
230,"1,555",2,2.0,2,"3,182",Blmngtn,7,4,"192,500"
231,"1,194",3,1.0,1,"8,760",NAmes,6,51,"148,000"
232,"2,794",4,2.5,3,"15,138",NoRidge,8,14,"403,000"
233,987,2,1.5,1,"1,680",BrDale,6,34,"94,500"
234,894,3,1.0,1,"10,650",CollgCr,5,34,"128,200"
235,"1,960",4,2.5,2,"7,851",Gilbert,6,8,"216,500"
236,987,2,1.5,1,"1,680",BrDale,6,37,"89,500"
237,"1,414",3,2.0,2,"8,773",CollgCr,7,6,"185,500"
238,"1,744",3,2.5,2,"9,453",SawyerW,7,17,"194,500"
239,"1,694",3,2.0,3,"12,030",NridgHt,8,0,"318,000"
240,"1,487",3,1.5,1,"8,741",Edwards,6,65,"113,000"
241,"1,566",3,2.0,2,"9,000",Somerst,8,2,"262,500"
242,866,2,1.0,0,"3,880",OldTown,5,62,"110,500"
243,"1,440",3,1.0,1,"5,000",OldTown,5,106,"79,000"
244,"1,217",3,1.5,1,"10,762",SawyerW,6,29,"120,000"
245,"2,110",3,2.5,2,"8,880",SawyerW,7,16,"205,000"
246,"1,872",3,2.0,2,"10,400",NWAmes,7,18,"241,500"
247,"1,928",4,2.0,1,"9,142",OldTown,6,96,"137,000"
248,"1,375",2,1.0,2,"11,310",NAmes,6,52,"140,000"
249,"1,668",3,2.5,2,"11,317",CollgCr,7,4,"180,000"
250,"2,144",4,2.0,2,"159,000",ClearCr,6,49,"277,000"
251,"1,306",3,1.0,0,"5,350",BrkSide,3,70,"76,500"
252,"1,625",2,2.0,2,"4,750",Crawfor,8,1,"235,000"
253,"1,640",3,2.5,2,"8,366",SawyerW,6,4,"173,000"
254,"1,302",3,2.0,1,"9,350",NAmes,6,43,"158,000"
255,"1,314",3,1.0,1,"8,400",NAmes,5,53,"145,000"
256,"2,291",4,2.5,2,"8,738",Gilbert,7,7,"230,000"
257,"1,728",3,2.5,2,"8,791",Somerst,6,5,"207,500"
258,"1,604",3,2.5,2,"8,814",CollgCr,7,3,"220,000"
259,"1,792",3,2.5,2,"12,435",CollgCr,7,7,"231,500"
260,882,2,1.0,1,"12,702",OldTown,5,52,"97,000"
261,"1,382",3,1.0,2,"19,296",NAmes,6,47,"176,000"
262,"2,574",3,2.5,3,"9,588",CollgCr,8,0,"276,000"
263,"1,212",3,1.0,2,"8,471",Sawyer,6,29,"151,000"
264,"1,316",3,1.0,2,"5,500",OldTown,5,81,"130,000"
265,764,2,1.0,2,"5,232",OldTown,5,83,"73,000"
266,"1,422",3,2.0,2,"12,090",NWAmes,6,27,"175,500"
267,"1,511",3,2.5,2,"11,207",Gilbert,6,9,"185,000"
268,"2,192",4,2.5,1,"8,400",SWISU,5,69,"179,500"
269,778,2,1.0,1,"6,900",IDOTRR,5,68,"120,500"
270,"1,113",3,1.5,1,"7,917",Edwards,6,31,"148,000"
271,"1,939",3,2.5,3,"10,728",Somerst,8,0,"266,000"
272,"1,363",2,1.0,2,"39,104",ClearCr,7,54,"241,500"
273,"2,270",4,2.5,3,"11,764",NoRidge,8,11,"290,000"
274,"1,632",3,2.0,1,"9,600",NAmes,6,51,"139,000"
275,816,2,1.0,1,"8,314",Mitchel,5,25,"124,500"
276,"1,548",3,2.5,2,"7,264",BrkSide,7,84,"205,000"
277,"1,560",3,2.0,2,"9,196",Mitchel,7,7,"201,000"
278,864,2,1.0,2,"19,138",Gilbert,4,59,"141,000"
279,"2,121",3,2.5,3,"14,450",NridgHt,9,1,"415,298"
280,"2,022",4,2.5,2,"10,005",ClearCr,7,31,"192,000"
281,"1,982",3,2.5,2,"11,287",SawyerW,7,18,"228,500"
282,"1,262",2,2.0,2,"7,200",Somerst,6,0,"185,000"
283,"1,314",2,2.0,2,"5,063",NridgHt,7,2,"207,500"
284,"1,468",3,2.0,3,"9,612",Somerst,8,1,"244,600"
285,"1,575",2,2.0,2,"8,012",SawyerW,6,15,"179,200"
286,"1,250",2,2.5,2,"4,251",Somerst,7,1,"164,700"
287,"1,734",3,1.5,2,"9,786",NAmes,6,44,"159,000"
288,858,3,1.0,0,"8,125",NAmes,4,35,"88,000"
289,900,3,1.0,1,"9,819",Sawyer,5,43,"122,000"
290,"1,396",3,1.0,1,"8,730",BrkSide,6,92,"153,575"
291,"1,919",3,2.5,2,"15,611",CollgCr,8,0,"233,230"
292,"1,716",6,2.0,0,"5,687",SWISU,5,96,"135,900"
293,"1,716",3,1.5,1,"11,409",Edwards,5,60,"131,000"
294,"2,263",3,2.5,2,"16,659",NWAmes,7,29,"235,000"
295,"1,644",3,1.0,2,"9,600",NAmes,6,56,"167,000"
296,"1,003",3,1.0,2,"7,937",Mitchel,6,22,"142,500"
297,"1,558",4,1.5,1,"13,710",IDOTRR,5,57,"152,000"
298,"1,950",3,2.5,2,"7,399",Somerst,7,10,"239,000"
299,"1,743",3,2.0,2,"11,700",NWAmes,6,39,"175,000"
300,"1,152",3,1.0,1,"14,000",Crawfor,6,59,"158,500"
301,"1,336",2,1.0,1,"15,750",Crawfor,5,53,"157,000"
302,"2,452",4,2.5,2,"16,226",CollgCr,8,9,"267,000"
303,"1,541",3,2.0,3,"13,704",CollgCr,7,5,"205,000"
304,894,3,1.0,2,"9,800",CollgCr,5,34,"149,900"
305,"3,493",3,3.0,3,"18,386",OldTown,7,128,"295,000"
306,"2,000",3,2.0,3,"10,386",CollgCr,8,3,"305,900"
307,"2,243",4,2.5,3,"13,474",SawyerW,7,17,"225,000"
308,"1,406",3,1.0,0,"7,920",IDOTRR,6,88,"89,500"
309,861,1,1.0,2,"12,342",Edwards,4,69,"82,500"
310,"1,944",3,2.0,3,"12,378",NridgHt,9,3,"360,000"
311,"1,501",3,2.5,2,"7,685",Gilbert,6,13,"165,600"
312,972,2,1.0,1,"8,000",NAmes,6,61,"132,000"
313,"1,118",3,1.0,2,"7,800",OldTown,5,67,"119,900"
314,"2,036",3,2.0,2,"215,245",Timber,7,44,"375,000"
315,"1,641",3,1.5,2,"9,600",OldTown,7,81,"178,000"
316,"1,432",3,2.5,2,"7,795",Gilbert,7,5,"188,500"
317,"2,353",4,2.5,2,"13,005",NWAmes,7,29,"260,000"
318,"1,959",3,2.5,3,"9,000",Somerst,8,1,"270,000"
319,"2,646",4,2.5,3,"9,900",NoRidge,7,16,"260,000"
320,"1,472",3,2.0,2,"14,115",NWAmes,7,29,"187,500"
321,"2,596",4,3.5,3,"16,259",NridgHt,9,0,"342,643"
322,"2,468",4,2.5,3,"12,099",NridgHt,8,3,"354,000"
323,"2,730",4,2.5,2,"10,380",SawyerW,7,21,"301,000"
324,"1,163",3,1.0,1,"5,820",OldTown,3,51,"126,175"
325,"2,978",5,2.5,2,"11,275",NAmes,7,43,"242,000"
326,803,2,1.0,2,"5,000",IDOTRR,5,66,"87,000"
327,"1,719",1,1.5,2,"10,846",Veenker,8,15,"324,000"
328,"1,383",3,1.5,1,"11,600",NAmes,6,46,"145,250"
329,"2,134",5,2.0,2,"11,888",BrkSide,6,93,"214,500"
330,"1,192",3,1.0,1,"6,402",IDOTRR,5,89,"78,000"
331,"1,728",6,2.0,1,"10,624",NAmes,5,43,"119,000"
332,"1,056",3,1.0,1,"8,176",NAmes,5,49,"139,000"
333,"1,629",3,2.0,3,"10,655",NridgHt,8,6,"284,000"
334,"1,358",2,2.0,2,"8,198",NridgHt,7,4,"207,000"
335,"1,638",3,2.5,2,"9,042",Gilbert,6,10,"192,000"
336,"1,786",3,2.0,2,"164,660",Timber,5,43,"228,950"
337,"1,922",3,2.0,3,"14,157",StoneBr,9,2,"377,426"
338,"1,536",3,2.0,2,"9,135",CollgCr,7,6,"214,000"
339,"1,621",3,2.0,2,"14,145",NWAmes,7,22,"202,500"
340,"1,215",3,1.0,1,"12,400",NAmes,6,51,"155,000"
341,"1,908",4,2.5,2,"14,191",Timber,8,8,"202,900"
342,841,2,1.0,1,"8,400",SawyerW,4,59,"82,000"
343,"1,040",2,2.0,2,"8,544",NAmes,3,57,"87,500"
344,"1,684",2,2.0,2,"8,849",NridgHt,9,3,"266,000"
345,"1,112",3,1.5,1,"2,592",MeadowV,5,34,"85,000"
346,"1,577",3,1.0,1,"6,435",BrkSide,6,67,"140,200"
347,958,2,1.0,1,"12,772",NAmes,6,47,"151,500"
348,"1,478",3,2.0,2,"17,600",NAmes,6,49,"157,500"
349,"1,626",2,2.5,2,"2,448",NridgHt,7,5,"154,000"
350,"2,728",4,2.5,3,"20,431",NridgHt,9,1,"437,154"
351,"1,869",2,2.0,2,"7,820",NridgHt,9,0,"318,061"
352,"1,453",2,1.5,2,"5,271",ClearCr,7,20,"190,000"
353,"1,111",3,1.0,1,"9,084",Edwards,5,67,"95,000"
354,720,2,1.0,2,"8,520",OldTown,6,82,"105,900"
355,"1,595",2,1.0,1,"8,400",SWISU,6,66,"140,000"
356,"1,200",3,2.0,2,"11,249",CollgCr,6,12,"177,500"
357,"1,167",3,2.0,2,"9,248",Gilbert,6,17,"173,000"
358,"1,142",3,1.5,2,"4,224",MeadowV,5,31,"134,000"
359,"1,352",3,1.0,1,"6,930",ClearCr,5,48,"130,000"
360,"1,924",3,2.5,2,"12,011",NoRidge,8,8,"280,000"
361,912,2,1.0,2,"7,540",Mitchel,6,29,"156,000"
362,"1,505",3,1.0,1,"9,144",BrkSide,5,68,"145,000"
363,"1,922",4,3.0,2,"7,301",Edwards,7,6,"198,500"
364,987,2,1.5,1,"1,680",BrDale,6,37,"118,000"
365,"1,574",3,2.5,2,"18,800",NWAmes,6,30,"190,000"
366,"1,344",3,1.0,1,"10,690",IDOTRR,5,89,"147,000"
367,"1,394",3,1.5,2,"9,500",NAmes,6,46,"159,000"
368,"1,431",3,1.0,1,"9,150",NAmes,6,46,"165,000"
369,"1,268",2,1.0,1,"7,800",NAmes,5,56,"132,000"
370,"1,287",3,1.0,2,"9,830",NAmes,5,51,"162,000"
371,"1,664",3,2.5,2,"8,121",Gilbert,6,6,"172,400"
372,"1,588",4,2.0,2,"17,120",ClearCr,4,49,"134,432"
373,752,2,1.0,1,"7,175",SawyerW,6,26,"125,000"
374,"1,319",3,1.0,1,"10,634",NAmes,5,56,"123,000"
375,"1,928",4,2.5,2,"8,200",CollgCr,7,4,"219,500"
376,904,1,0.5,0,"10,020",Edwards,1,87,"61,000"
377,914,2,1.0,2,"8,846",CollgCr,5,10,"148,000"
378,"2,466",4,3.0,2,"11,143",Somerst,8,3,"340,000"
379,"1,856",1,1.5,3,"11,394",StoneBr,9,0,"394,432"
380,"1,800",3,2.5,2,"8,123",Gilbert,6,9,"179,000"
381,"1,691",3,2.0,1,"5,000",SWISU,5,86,"127,000"
382,"1,301",2,2.0,2,"7,200",Somerst,7,0,"187,750"
383,"1,797",3,2.5,2,"9,245",CollgCr,7,1,"213,500"
384,784,2,1.0,2,"9,000",SawyerW,6,81,"76,000"
385,"1,953",3,2.5,2,"53,107",ClearCr,6,15,"240,000"
386,"1,269",2,2.0,2,"3,182",Blmngtn,8,6,"192,000"
387,"1,184",5,1.0,0,"8,410",Edwards,5,96,"81,000"
388,"1,125",3,1.0,1,"7,200",Edwards,6,33,"125,000"
389,"1,479",3,2.0,2,"9,382",CollgCr,7,9,"191,000"
390,"2,332",3,2.5,3,"12,474",NridgHt,10,1,"426,000"
391,"1,367",4,1.0,1,"8,405",Edwards,5,108,"119,000"
392,"1,961",3,2.5,2,"12,209",Mitchel,6,8,"215,000"
393,882,3,1.0,1,"8,339",NAmes,5,48,"106,500"
